id,loan_amnt,funded_amnt,funded_amnt_inv,term_months,int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,last_pymnt_d,collection_recovery_fee,last_pymnt_amnt,last_credit_pull_d,collections_12_mths_ex_med,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,disbursement_method
1474297,15000,15000,15000,36,7.56,467.01,10,1,200000,0,122018,0,9,0,0,7,0,19386,39.2,45,0,0,15063,15063,15000,63,0,0,1192020,0,15072.45,19-Jan,0,1,0,0,175731,2,0,1,1,12,0,,2,2,10054,39,49500,1,16,3,3,25104,23085,43.7,0,0,152,154,0,0,3,2,11,1,3,5,3,10,21,6,21,5,7,0,0,3,97.8,0,0,241487,19386,41000,0,1
1474299,5000,5000,5000,36,7.56,155.67,5,1,98000,0,122018,0,2,0,0,6,0,10190,55.1,13,0,0,5013.65,5013.65,5000,13.65,0,0,1192020,0,5016.8,19-Feb,0,1,0,0,50831,1,3,1,3,2,40641,83,0,1,3595,76,18500,3,3,0,4,8472,3905,47.9,0,0,129,127,22,2,2,54,18,1,1,2,1,1,7,3,4,2,6,0,0,1,92.3,0,0,67363,50831,7500,48863,1
1474300,12950,12950,12950,36,7.56,403.19,10,1,55000,1,122018,0,1,0,1,15,0,2160,5,24,0,0,13020.7055,13020.71,12950,70.71,0,0,2192020,0,13028.87,19-Jan,0,1,0,0,229904,1,2,1,2,5,33426,87,0,3,677,44,42800,1,4,3,5,15327,28707,5.3,0,0,132,156,13,5,2,27,3,0,5,8,6,7,7,12,15,8,15,0,0,1,100,0,0,284545,35586,30300,38398,1
1474301,10450,10450,10450,60,12.98,237.67,10,1,58000,0,122018,0,2,0,1,20,0,8956,18.3,40,0,0,10573.66693,10573.67,10450,123.67,0,0,1192020,0,10584.97,19-Feb,0,1,0,0,197095,2,2,1,1,4,27228,82,2,7,3636,42,49000,1,0,5,9,9855,21202,18.8,0,0,128,187,3,3,5,17,0,0,4,10,4,10,3,15,31,10,20,0,0,3,100,0,0,262550,40411,26100,33096,1
1474302,20000,20000,20000,60,26.31,602.49,4,1,58000,0,122018,0,2,0,0,5,0,11580,84.5,19,0,0,20306.95,20306.95,20000,306.95,0,0,1192020,0,20350.8,19-Jan,0,2,0,0,233104,0,2,0,0,37,40345,139,1,1,11580,111,13700,0,3,2,2,46621,120,99,0,0,136,162,8,8,3,8,4,0,1,1,1,2,10,2,6,1,5,0,0,1,100,100,0,247335,51925,11700,49135,1
1474303,10000,10000,10000,60,12.98,227.43,1,1,60000,0,122018,0,3,1,1,23,0,15927,21.8,40,0,0,10072.10778,10072.11,10000,72.11,0,0,1192020,0,10082.93,19-Feb,0,1,0,0,157586,1,2,0,1,23,7069,39,1,2,8703,23,73200,1,1,1,3,6852,40231,23.1,0,0,159,159,1,1,1,1,4,0,4,6,10,15,4,19,34,6,23,0,0,1,95,10,0,250852,23216,52300,18367,1
1474304,29050,29050,29050,36,10.33,941.87,0.5,1,68000,1,122018,0,5,0,0,17,0,2252,3.1,35,0,0,29275.06208,29275.06,29050,225.06,0,0,2192020,0,29300.07,19-Jan,0,1,0,0,227183,3,3,0,1,16,18531,39,4,5,1463,17,72600,1,0,2,7,13364,68267,3,0,0,114,119,3,1,2,3,3,0,3,4,10,17,8,12,25,4,17,0,0,5,97.1,0,0,326611,20783,70400,47611,0
1474305,1000,1000,1000,36,13.56,33.97,1,2,42140,1,122018,0,10,0,2,7,0,398,5.8,14,0,0,1007.533333,1007.53,1000,7.53,0,0,1192020,0,1008.66,19-Feb,0,1,0,0,43629,0,3,1,2,9,43231,88,0,1,327,78,6900,5,1,5,3,6233,1173,21.8,0,0,189,83,23,9,0,31,0,3,1,2,1,1,10,4,4,2,7,0,0,1,71.4,0,0,56274,43629,1500,49374,1
1474306,3500,3500,3500,36,18.94,128.19,10,1,127300,2,122018,0,6,2,2,8,0,17597,50,30,0,0,3571.357786,3571.36,3500,71.36,0,0,2192020,0,3576.88,19-Jan,0,1,0,0,239730,2,3,1,2,4,83174,82,1,3,10616,50,35300,0,0,1,5,29966,11333,49,0,0,158,207,3,3,2,15,3,0,3,4,13,15,9,4,19,4,8,0,0,2,93,0,0,291347,102812,34000,101022,1
1474307,10000,10000,10000,36,11.8,331.19,1,2,100000,1,122018,0,1,1,1,10,0,1229,17.3,21,0,0,10148.87293,10148.87,10000,148.87,0,0,1192020,0,10158.7,19-Feb,0,1,0,0,23547,1,3,1,2,12,22318,48,1,2,963,44,45100,1,0,3,4,2616,40871,30,1,0,75,438,0,0,0,0,0,7,2,2,5,11,4,7,16,2,10,0,1,2,61.9,0,0,91319,23547,42100,46219,1
1474308,10000,10000,10000,36,8.19,314.25,8,1,65000,2,122018,0,1,0,0,7,0,7337,34,44,0,0,10014.28549,10014.29,10000,14.29,0,0,1192020,0,10021.11,19-Jan,0,1,0,0,36228,1,2,2,2,4,28891,90,0,1,2965,67,21600,1,3,2,3,5175,14263,34,0,0,196,202,13,4,2,13,4,6,4,4,5,18,19,5,22,4,7,0,0,2,86.4,60,0,53766,36228,21600,32166,1
1474309,9500,9500,9500,36,8.19,298.53,5,2,50000,0,122018,0,2,0,0,7,0,5126,32,11,0,0,9502.845794,9502.85,9500,2.85,0,0,1192020,0,9509.33,19-Jan,0,1,0,0,9112,0,2,0,2,14,3986,60,1,2,4795,40,16000,2,0,1,4,1302,6505,42.4,0,0,16,156,12,12,0,100,12,1,1,2,1,2,2,5,9,2,7,0,0,1,90.9,0,0,22700,9112,11300,6700,1
1474310,6000,6000,6000,36,10.72,195.64,0,1,65520,0,122018,0,4,0,1,7,0,5322,21.4,18,0,0,6035.733333,6035.73,6000,35.73,0,0,1192020,0,6041.09,19-Feb,0,1,0,0,22225,1,2,1,1,5,16903,73,0,2,2545,46,24900,1,2,6,3,3175,9678,35.5,0,0,201,128,21,5,0,21,3,0,3,3,3,5,9,5,9,3,7,0,0,1,100,0,0,47959,22225,15000,23059,1
1474311,28000,28000,28000,36,15.02,970.91,0,2,58000,1,122018,0,1,0,0,19,0,9877,15.1,24,0,0,28486.76706,28486.77,28000,486.77,0,0,2192020,0,28521.82,19-Feb,0,1,0,0,13353,2,1,1,2,11,3476,31,4,6,6123,17,65400,4,1,3,9,703,46923,17.4,0,0,49,52,1,1,0,1,8,0,8,8,14,14,5,17,18,8,19,0,0,6,100,7.1,0,78575,13353,56800,11377,1
1474312,9000,9000,9000,36,11.8,298.07,0,3,45000,0,122018,0,1,0,2,29,0,2890,2.5,56,0,0,9041.3,9041.3,9000,41.3,0,0,1192020,0,9050.15,19-Feb,0,1,0,0,31261,3,2,2,4,1,28121,92,5,13,931,22,128900,2,0,2,18,1116,109256,2.5,0,0,98,162,1,1,0,1,1,0,4,8,17,31,11,26,44,8,28,0,0,8,100,0,0,159714,31261,111700,30564,1
1474313,6000,6000,6000,36,12.98,202.11,10,2,67000,1,122018,0,2,0,0,6,0,5224,98.6,8,0,0,6054.083334,6054.08,6000,54.08,0,0,1192020,0,6060.57,19-Jan,0,2,0,0,314927,0,2,0,1,16,20725,56,0,0,1571,61,5300,0,0,0,1,52488,151,93.4,0,0,54,31,30,16,3,30,,0,2,3,2,2,2,3,3,3,6,0,0,0,75,100,0,342113,25949,2300,37063,1
1474314,10000,10000,10000,36,10.72,326.07,5,2,45000,0,122018,0,2,0,0,13,0,3453,12.2,17,0,0,10003.87444,10003.87,10000,3.87,0,0,1192020,0,10012.8,19-Jan,0,1,0,0,15271,2,2,0,3,15,11818,63,3,6,2483,32,28200,2,2,0,9,1175,19047,15.3,0,0,42,48,1,1,0,1,15,0,2,2,7,8,5,11,12,2,13,0,0,3,100,14.3,0,47077,15271,22500,18877,1
1474315,9000,9000,9000,36,18.94,329.64,5,1,47000,1,122018,0,8,0,0,13,1,8991,30.4,28,0,0,9105.595501,9105.6,9000,105.6,0,0,1192020,0,9119.8,19-Jan,1,1,0,853,9468,1,1,0,0,33,477,6,3,6,866,25,29600,0,2,4,6,789,6137,18.2,0,0,188,213,5,5,2,5,0,0,2,9,3,8,3,12,23,9,12,0,0,3,100,33.3,1,37782,9468,7500,8182,1
1474316,10000,10000,10000,36,8.81,317.12,0.5,1,143600,0,122018,0,1,0,1,10,0,5660,15.8,25,0,0,10003.32989,10003.33,10000,3.33,0,0,1192020,0,10010.67,19-Jan,0,1,0,0,257595,1,3,1,3,7,54933,66,2,2,2298,42,35800,2,2,4,5,25760,5402,29.8,0,0,132,228,4,4,2,4,0,0,1,3,2,2,14,6,9,3,10,0,0,3,100,0,0,297034,60593,7700,76284,1
1474317,5000,5000,5000,36,8.81,158.56,10,2,42000,0,122018,0,1,0,0,3,0,2465,19.7,22,0,0,5055.720368,5055.72,5000,55.72,0,0,2192020,0,5059.39,19-Feb,0,1,0,0,17124,0,2,1,2,7,14659,84,1,1,2465,57,12500,2,0,1,3,5708,10035,19.7,0,0,187,284,7,7,0,51,7,0,1,1,1,11,7,1,15,1,3,0,0,2,100,0,0,30000,17124,12500,17500,1
1474318,10000,10000,10000,36,14.47,344.07,10,2,80000,0,122018,0,1,0,2,10,1,4950,16.4,23,0,0,10005.46478,10005.46,10000,5.46,0,0,1192020,0,10017.52,19-Feb,0,1,0,807,11581,1,1,1,2,3,6631,93,1,3,2610,31,30200,1,10,6,5,1158,11896,22.8,0,0,97,75,9,3,0,13,2,0,3,9,3,5,11,9,12,9,10,0,0,2,95.5,33.3,1,37317,11581,15400,7117,1
1474319,2500,2500,2500,36,18.94,91.57,10,1,95000,0,122018,0,1,0,0,15,0,6438,31,23,0,0,2562.55342,2562.55,2500,62.55,0,0,2192020,0,2566.5,19-Feb,0,1,0,808,80506,2,2,1,2,6,72568,,4,5,4636,36,20800,2,0,3,8,5367,7316,39,0,0,121,157,0,0,1,0,3,1,3,6,5,5,8,12,13,6,15,0,0,6,69.6,0,0,121682,80506,12000,99382,1
1474320,24000,24000,24000,60,11.8,531.45,10,2,57948,1,122018,0,7,0,0,18,1,18806,36.2,29,0,0,24010.69867,24010.7,24000,10.7,0,0,1192020,0,24034.3,19-Jan,0,1,0,0,39295,0,2,0,1,23,20489,54,1,5,7916,44,52000,0,6,3,6,2183,10153,46,0,0,121,173,7,7,0,7,6,0,3,8,5,6,5,16,24,8,18,0,0,1,100,20,1,89943,39295,18800,37943,1
1474322,16000,16000,16000,60,8.19,325.88,10,1,153000,0,122018,0,2,0,1,13,0,104204,22.9,44,0,0,16054.6,16054.6,16000,54.6,0,0,1192020,0,16065.52,18-Dec,0,1,0,0,494218,1,3,1,1,5,67434,23,1,3,14436,23,163000,2,12,3,4,38017,32775,32,0,0,180,194,7,5,5,23,0,0,3,5,4,9,16,9,23,5,13,0,0,2,100,25,0,626729,171638,48200,115729,0
1474323,29000,29000,29000,36,7.02,895.71,0.5,2,130000,0,122018,0,1,8,0,7,0,14578,29.7,26,0,0,29006.84755,29006.85,29000,6.85,0,0,1192020,0,29023.81,19-Jan,0,1,0,0,234946,0,1,0,0,42,4710,26,0,0,9029,29,49100,0,0,0,0,33564,34522,29.7,4,0,150,428,27,27,3,28,,6,4,4,5,13,5,5,18,4,7,0,6,0,68,0,0,306025,19288,49100,18125,1
1474325,4500,4500,4500,36,16.91,160.24,3,2,51000,0,122018,0,2,0,1,4,0,4382,47.6,8,0,0,4557.0725,4557.07,4500,57.07,0,0,2192020,0,4563.41,19-Jan,0,1,0,0,28166,1,2,2,2,5,23784,88,0,2,2796,78,9200,1,1,1,4,7042,4818,47.6,0,0,28,41,16,5,0,16,5,0,2,2,2,4,3,2,5,2,4,0,0,2,100,50,0,36272,28166,9200,27072,1
1474326,10000,10000,10000,36,16.14,352.27,10,1,40000,1,122018,0,1,0,0,10,0,14182,57.9,39,0,0,10006.36633,10006.37,10000,6.37,0,0,1192020,0,10019.82,19-Jan,0,1,0,0,162496,0,2,1,1,11,24310,83,0,4,6561,72,24500,1,4,2,5,16250,6377,53.8,0,0,124,79,18,11,3,18,11,0,2,7,2,2,23,7,13,7,10,0,0,1,100,0,0,183526,38492,13800,29295,1
1474328,25000,25000,25000,36,7.02,772.16,3,1,180000,0,122018,0,3,0,2,23,0,32191,24.5,32,0,0,25035.15375,25035.15,25000,35.15,0,0,1192020,0,25049.77,19-Jan,0,1,0,0,330240,2,3,1,3,4,54989,75,3,6,15347,34,132700,1,0,7,9,14358,72357,29.1,0,0,152,175,2,2,1,2,2,0,6,7,14,16,9,19,22,7,23,0,0,4,100,0,0,472654,87180,101600,68845,1
1474329,5000,5000,5000,36,10.33,162.12,10,1,118964,0,122018,0,2,0,2,10,0,13909,68.9,27,0,0,5056.253336,5056.25,5000,56.25,0,0,2192020,0,4860.55,19-Feb,0,1,0,0,79249,2,3,0,3,14,65340,63,2,3,9326,65,20200,4,0,7,6,7925,3096,78.6,0,0,151,348,5,5,0,5,0,0,2,3,3,9,8,7,19,3,10,0,0,2,96.3,33.3,0,110364,79249,14500,90164,0
1474330,14000,14000,14000,36,16.91,498.52,0.5,2,38400,0,122018,0,2,0,0,16,0,15348,41.3,19,0,0,14008.94184,14008.94,14000,8.94,0,0,1192020,0,14028.67,19-Jan,0,1,0,180,33553,0,6,0,0,39,18205,104,2,6,5887,61,37200,0,0,0,6,2097,13839,43,0,0,64,49,9,9,0,9,15,0,4,6,5,5,7,10,12,6,16,0,0,2,100,20,0,54700,33553,24300,17500,1
1474331,6300,6300,6300,36,18.94,230.75,10,1,85000,0,122018,0,1,0,1,7,0,16047,96.7,14,0,0,6382.866,6382.87,6300,82.87,0,0,1192020,0,6392.81,19-Jan,0,1,0,0,38329,1,1,0,0,27,22282,68,1,1,5970,77,16600,0,1,1,1,5476,253,98.4,0,0,110,164,6,6,0,6,6,0,5,5,5,9,4,6,10,5,7,0,0,1,100,100,0,49566,38329,16300,32966,1
1474333,2000,2000,2000,36,23.4,77.84,10,2,65000,0,122018,0,1,0,2,7,0,1734,20.2,28,0,0,2033.956,2033.96,2000,33.96,0,0,2192020,0,157.86,19-Jan,0,1,0,0,38558,2,1,3,4,6,36824,,1,2,727,20,8600,3,1,7,6,5508,1451,34,0,0,136,141,1,1,0,18,1,2,2,3,2,10,9,6,17,3,7,0,0,4,71.4,0,0,46476,38558,2200,37876,1
1474334,3000,3000,3000,36,19.92,111.37,1,2,62000,0,122018,0,1,0,2,6,0,2334,37.6,24,0,0,3046.445931,3046.45,3000,46.45,0,0,2192020,0,3051.43,19-Jan,0,1,0,0,24226,2,2,1,1,6,21892,76,1,3,1226,70,6200,1,1,5,4,4038,174,87.6,0,0,235,162,2,2,2,17,0,2,1,4,1,5,9,4,11,4,6,0,0,2,83.3,100,0,34836,24226,1400,28636,1
1474335,15000,15000,15000,36,7.02,463.3,10,1,93000,0,122018,0,1,0,0,11,0,16863,48.9,33,0,0,15055.57,15055.57,15000,55.57,0,0,1192020,0,15064.35,19-Jan,0,2,0,0,607095,0,4,0,1,14,278369,70,1,1,14337,57,34500,1,2,0,4,55190,2388,86.4,0,0,175,156,12,12,5,42,14,0,2,3,2,5,14,6,14,3,11,0,0,1,100,50,0,590502,295232,17500,235917,1
1474336,12000,12000,12000,60,10.33,256.92,2,3,53600,0,122018,0,2,0,0,11,0,21194,51.9,31,0,0,12045.79633,12045.8,12000,45.8,0,0,1192020,0,12056.13,19-Jan,0,1,0,0,160669,1,2,0,0,53,139475,,2,3,6632,52,40800,0,2,0,3,14606,14825,56.8,0,0,124,112,5,5,0,11,18,0,5,6,5,6,19,9,12,6,11,0,0,2,96.4,0,0,142722,160669,34300,101922,0
1474337,3025,3025,3025,36,23.4,117.73,4,1,50000,0,122018,0,8,0,1,7,0,2029,12.1,18,0,0,3087.92125,3087.92,3025,62.92,0,0,2192020,0,3097.75,19-Feb,0,1,0,0,10167,1,2,1,1,2,8138,50,0,1,0,31,16700,0,1,1,2,1695,,,0,0,70,303,24,2,2,,2,0,0,3,0,4,6,5,10,3,7,0,0,1,100,,0,33151,10167,0,16451,1
1474338,6000,6000,6000,36,10.72,195.64,0,1,19764,0,122018,0,2,0,1,7,1,6896,65.7,21,0,0,6056.880592,6056.88,6000,56.88,0,0,1192020,0,6065.81,19-Jan,0,1,0,0,21236,1,1,1,1,6,14340,92,0,0,367,81,10500,0,7,1,1,3539,433,45.9,0,0,79,314,39,6,1,75,6,0,1,5,2,5,3,6,17,5,7,0,0,1,100,0,1,26130,21236,800,15630,1
1474339,1900,1900,1875,36,7.02,58.69,3,2,27000,1,122018,0,1,0,1,7,0,1563,4.8,8,0,0,1915.405789,1890.2,1900,15.41,0,0,1192020,0,1917.26,19-Feb,0,1,0,0,32175,1,1,0,0,50,30612,104,3,5,1497,52,32700,0,0,1,5,4596,31137,4.8,0,0,76,38,5,5,0,5,5,0,2,2,6,6,2,6,6,2,7,0,0,3,100,0,0,62200,32175,32700,29500,0
1474340,1000,1000,1000,36,27.27,40.98,5,2,40000,1,122018,0,10,0,0,6,0,0,0,12,0,0,1031.577421,1031.58,1000,31.58,0,0,1192020,0,1035.37,19-Feb,0,1,0,0,7405,0,1,2,3,7,7405,82,1,3,0,42,8400,3,0,3,6,1234,3000,0,0,0,13,55,10,7,0,17,8,1,0,0,1,3,3,5,8,0,6,0,0,3,83.3,0,0,17488,7405,3000,9088,1
1474341,21500,21500,21500,36,7.56,669.38,0.5,2,89000,0,122018,0,1,0,0,3,0,908,4.5,6,0,0,21505.7842,21505.78,21500,5.78,0,0,1192020,0,21519.32,19-Jan,0,1,0,0,6303,0,1,0,1,17,5395,58,0,0,462,22,20000,0,0,0,1,2101,19092,4.5,0,0,67,54,46,17,0,46,19,0,2,2,2,2,4,2,2,2,3,0,0,0,100,0,0,29370,6303,20000,9370,1
1474342,20000,20000,19975,36,16.91,712.16,10,1,88000,1,122018,0,9,1,1,7,1,2819,31,19,0,0,20012.215,19987.2,20000,12.21,0,0,1192020,0,20059.18,19-Jan,0,1,0,0,423817,0,1,1,1,9,67849,,0,2,2470,27,9100,2,0,7,6,60545,6281,31,0,0,131,102,13,9,3,13,0,1,4,4,4,7,8,4,7,4,7,0,0,1,88.9,25,1,443506,70991,9100,73437,1
1474343,6000,6000,6000,36,16.14,211.36,1,2,50000,1,122018,0,2,0,0,8,0,4344,43,12,0,0,6051.2445,6051.24,6000,51.24,0,0,1192020,0,424.69,19-Feb,1,1,0,183,26822,1,2,0,0,27,22478,59,2,5,977,56,10100,1,0,1,5,3353,1716,59.1,0,0,53,99,5,5,0,10,9,0,3,4,3,3,4,6,8,4,8,0,0,2,100,33.3,0,48090,26822,4200,37990,0
1474344,20000,20000,20000,60,15.02,476.01,10,1,63000,0,122018,0,1,0,1,13,0,7009,17.3,22,0,0,20010.85,20010.85,20000,10.85,0,0,1192020,0,20052.57,19-Feb,0,1,0,0,221399,0,2,2,4,9,43606,88,0,3,4118,56,40500,0,5,2,7,17031,18320,26.7,0,0,150,175,14,9,1,24,1,0,4,6,4,5,8,10,13,6,13,0,0,2,100,25,0,285640,50615,25000,49840,1
1474345,11000,11000,11000,36,10.72,358.67,10,1,125000,1,122018,0,1,0,2,15,0,8016,23.9,23,0,0,11052.40667,11052.41,11000,52.41,0,0,1192020,0,11068.79,19-Feb,0,1,0,765,362558,2,4,2,4,3,82041,83,3,5,2786,68,33600,3,2,5,9,24171,24884,24.4,0,0,153,171,5,3,3,5,3,1,6,6,8,9,10,9,10,6,15,0,0,5,81.8,0,0,425906,90057,32900,98409,1
1474348,12000,12000,12000,36,20.89,451.43,10,2,75000,1,122018,0,1,0,0,12,0,11027,26.1,25,0,0,12276.41898,12276.42,12000,276.42,0,0,1192020,0,12311.24,19-Feb,0,1,0,0,38460,0,4,3,4,7,27433,93,0,4,5746,54,42300,2,0,1,8,3496,29273,27.4,0,0,54,124,14,7,0,15,7,0,4,4,5,7,7,8,18,4,12,0,0,3,100,20,0,71796,38460,40300,29496,1
1474349,11000,11000,10750,36,12.98,370.53,10,1,130000,1,122018,0,2,0,0,17,0,6830,22.5,36,0,0,11074.81248,10823.11,11000,74.81,0,0,1192020,0,11094.64,19-Feb,0,1,0,165,396419,6,5,6,10,1,132650,83,3,4,1701,54,30300,8,0,11,15,23319,21672,12.6,0,0,186,129,2,1,3,6,0,0,6,9,8,11,18,11,15,9,17,0,0,10,94.3,0,0,411090,139480,24800,121328,0
1474350,2000,2000,1750,36,12.98,67.37,0.5,2,18000,1,122018,0,10,0,0,8,0,2848,22.6,10,0,0,2018.032119,1765.78,2000,18.03,0,0,1192020,0,2021.64,19-Feb,0,1,0,161,92457,2,5,2,4,3,89609,95,0,2,2848,81,12600,0,0,0,6,11557,9752,22.6,0,0,88,27,15,3,0,15,15,0,1,1,3,3,7,3,3,1,8,0,0,2,100,0,0,102293,92457,12600,89693,1
